"scode","numclass","cohsize","avgmath","avgverb","tipuach","clasz","z","pair"
61116,1,44,66.2300033569336,58.0299987792969,38,44,0,1
11006,2,37,58.3243243243243,69.4608787330421,38,18.5,1,1
11182,2,46,72.1261901855469,81.0766677856445,9,23,0,2
11235,1,40,63.1300010681152,79.3899993896484,8,40,1,2
51322,2,45,78.476889207628,85.516665479872,1,22.5,0,3
11238,1,32,68.0899963378906,75.6999969482422,1,32,1,3
41131,2,47,78.1146808380776,79.9991472934155,0,23.5,0,4
11259,2,40,64.4215013504028,80.4025009155273,0,20,1,4
51305,2,45,76.4177759806315,82.9046661376953,1,22.5,0,5
21012,1,33,67,84,1,33,1,5
21195,2,48,47.6824998855591,61.3875002861023,71,24,0,6
21030,1,33,57.689998626709,64.7200012207031,65,33,1,6
61178,2,46,56.1060854041058,67.4876098632812,52,23,0,7
21079,1,31,48,57,60,31,1,7
51273,2,43,68.0025581537291,78.0134884146757,8,21.5,0,8
21088,1,35,70.9700012207031,78.0699996948242,7,35,1,8
51288,2,41,52.8817080986209,70.4317064983089,21,20.5,0,9
21162,1,40,60.1300010681152,64,22,40,1,9
21096,2,47,72.5968089002244,82.8295752342711,3,23.5,0,10
21173,1,34,63.9700012207031,79.7900009155273,4,34,1,10
41096,2,41,62.5312204128358,65.9026853980088,36,20.5,0,11
21185,2,38,59,72,35,19,1,11
31069,2,50,61.3455993652344,77.4895986938477,6,25,0,12
11009,1,32,68.379997253418,73.9700012207031,6,32,1,12
61138,2,42,58.5471420288086,58.468571799142,31,21,0,13
21206,1,35,62.7900009155273,72.2099990844727,32,35,1,13
41468,2,44,83.4049987792969,80.4449996948242,4,22,0,14
21214,1,34,71,80,4,34,1,14
61223,2,43,57.5886038846748,68.3858144006064,24,21.5,0,15
21316,2,33,52.6000010172526,64.1466674804688,24,16.5,1,15
41003,2,41,66.875118906905,71.1241460660609,31,20.5,0,16
31026,1,35,57.4700012207031,66.6999969482422,30,35,1,16
21215,2,41,71.3187795499476,83.4890259533394,3,20.5,0,17
31040,1,40,80.3600006103516,83.6100006103516,4,40,1,17
41010,2,45,63.3831134372287,69.1693352593316,10,22.5,0,18
31046,1,32,61.0999984741211,71.5299987792969,10,32,1,18
51117,2,48,68.1937510172526,76.4229180018107,12,24,0,19
31048,2,32,63.2562494277954,77.3412494659424,11,16,1,19
61232,2,48,68.6354152361552,78.0804150899251,12,24,0,20
31070,1,37,70.2399978637695,75.0400009155273,11,37,1,20
41339,2,50,72.0148004150391,77.9393969726563,16,25,0,21
31098,2,33,64.5545446222479,60.8790900490501,16,16.5,1,21
61093,2,50,45.9924803161621,66.003056640625,50,25,0,22
31101,1,40,57.1800003051758,60.1800003051758,50,40,1,22
31067,2,48,61.9995829264323,72.4345820744832,17,24,0,23
11054,1,35,63,68,17,35,1,23
21374,2,47,83.9702133828021,84.1755338628241,0,23.5,0,24
31116,1,33,74.6699981689453,86.4800033569336,0,33,1,24
61325,2,49,72.9983341450594,73.001038064762,17,24.5,0,25
31125,1,35,75.9700012207031,73,17,35,1,25
51111,2,43,66.619300132574,71.3041848470998,18,21.5,0,26
31133,1,40,65.7900009155273,73.1500015258789,19,40,1,26
51112,2,47,70.0326068959338,80.0270791561045,9,23.5,0,27
31207,1,31,52,75.1900024414062,9,31,1,27
61038,2,47,60.7840405727955,67.6259578948325,40,23.5,0,28
31219,2,38,39.2250003814697,50.3850002288818,40,19,1,28
41186,2,47,65.694040988354,71.0195747537816,24,23.5,0,29
41039,1,32,58,66,24,32,1,29
21236,2,44,62.9727266485041,70.546365217729,35,22,0,30
41080,1,34,50.2099990844727,64.2600021362305,35,34,1,30
61294,2,47,62.3431919179064,79.7872340425532,36,23.5,0,31
41098,1,38,38.1800003051758,56.560001373291,36,38,1,31
41143,2,46,62.1810879914657,66.2321737538213,40,23,0,32
41105,1,33,62.2200012207031,76.370002746582,40,33,1,32
41146,2,46,66.4343454112177,64.9173905745797,41,23,0,33
